popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
36,350107,2019-08-16,0.391,0.458,1,-7.977,1,0.0293,0.616,8.48e-05,0.117,0.266,135.738
59,175775,2011-03-29,0.61,0.576,1,-8.289,1,0.0641,0.608,0.0,0.0716,0.568,80.973
70,196827,2014-12-21,0.677,0.655,7,-5.541,1,0.0433,0.0027,0.276,0.162,0.146,100.119
73,220042,2020-10-30,0.434,0.929,1,-2.749,1,0.147,0.000207,0.00109,0.0916,0.428,92.541
39,167221,2021-04-02,0.638,0.682,4,-3.566,1,0.064,0.000522,6.52e-05,0.64,0.73,119.935
55,180573,2015-06-01,0.472,0.918,5,-2.467,0,0.0707,0.0217,0.0,0.105,0.388,122.208
43,180650,2016-10-21,0.655,0.811,8,-5.131,1,0.0545,0.0744,0.0,0.137,0.313,113.935
69,231107,2015-09-11,0.54,0.661,3,-5.534,0,0.0381,0.0765,0.0,0.125,0.506,90.012
59,227760,2010-01-01,0.557,0.406,4,-7.083,1,0.0278,0.742,0.0,0.113,0.222,131.96
6,160000,2021-04-09,0.584,0.547,7,-8.502,0,0.382,0.655,1.64e-06,0.134,0.56,83.917
37,285920,2015-02-03,0.575,0.789,2,-6.899,1,0.32,0.079,0.0,0.46,0.517,162.93
74,214825,2020-05-08,0.565,0.569,6,-6.084,0,0.379,0.0352,8.81e-06,0.106,0.303,92.466
58,251440,2018-04-13,0.63,0.456,8,-8.285,1,0.0317,0.545,0.0,0.114,0.166,137.915
72,193059,2013-01-01,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961
68,255587,2012-09-18,0.597,0.919,7,-2.954,1,0.044,0.000145,0.0,0.282,0.73,113.987
55,256388,2016-05-06,0.487,0.349,8,-7.873,1,0.0775,0.148,3.22e-05,0.0696,0.123,195.76
6,189818,2018-12-21,0.671,0.919,1,-8.482,1,0.0467,0.00181,0.42,0.104,0.897,110.021
62,194760,2019-09-27,0.59,0.646,4,-4.666,0,0.0603,0.0108,0.0,0.473,0.325,117.066
50,211975,2015-03-17,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961
26,222160,2017-12-22,0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963
7,231547,2016-03-11,0.661,0.768,0,-7.202,1,0.0313,0.102,0.0724,0.162,0.96,153.381
76,176561,2015-11-27,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007
52,314747,2010-07-20,0.396,0.81,0,-4.242,1,0.0439,0.0164,0.107,0.322,0.252,165.269
70,169727,2016-01-15,0.841,0.898,8,-7.135,1,0.104,0.271,0.0151,0.304,0.931,98.401
67,176761,2017-01-26,0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,0.192,0.357,140.02
60,191440,2015-03-17,0.58,0.935,9,-3.348,1,0.189,0.0318,0.0,0.0977,0.603,172.023
68,191053,2020-01-17,0.636,0.699,5,-4.432,0,0.0396,0.302,0.0,0.263,0.709,96.962
77,121375,2019-07-31,0.663,0.408,0,-10.861,1,0.163,0.901,0.000691,0.16,0.227,90.191
61,216889,2011-06-07,0.746,0.341,7,-6.356,1,0.0397,0.707,0.0,0.0864,0.861,81.963
8,209333,2018-10-26,0.481,0.536,7,-5.971,1,0.026,0.0535,0.227,0.104,0.406,106.013
60,210760,2015-02-24,0.558,0.662,7,-6.129,1,0.0261,0.0513,0.0,0.153,0.434,97.962
22,170813,2021-04-08,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98
58,215120,2011-09-20,0.288,0.316,0,-8.06,1,0.0286,0.861,0.0,0.188,0.201,130.939
0,125107,2013-09-17,0.714,0.249,6,-20.607,0,0.0606,0.5,2.82e-05,0.116,0.37,125.688
47,199762,2015-01-09,0.459,0.976,11,-5.564,0,0.0884,8.31e-05,3.93e-05,0.353,0.466,160.025
71,216041,2017-08-15,0.646,0.64,3,-6.522,0,0.0424,0.0348,0.0,0.108,0.882,134.03
42,223560,2011-01-01,0.65,0.645,4,-5.378,0,0.033,0.189,0.0,0.105,0.455,123.969
67,154465,2017-01-12,0.634,0.621,2,-5.936,1,0.0288,0.0466,0.0,0.128,0.844,105.049
56,254627,2012,0.455,0.459,1,-6.151,1,0.0268,0.614,0.0,0.158,0.106,142.066
70,176796,2020-10-09,0.675,0.73,0,-5.982,1,0.0909,0.0669,0.0,0.0686,0.892,102.025
48,211933,2012-08-28,0.875,0.66,1,-3.877,1,0.117,0.0652,0.000457,0.0682,0.67,96.121
29,321347,2011-01-01,0.797,0.832,4,-4.106,1,0.0619,0.0513,0.0,0.128,0.879,140.055
70,259040,2012-03-12,0.714,0.434,4,-11.542,1,0.0396,0.697,0.0,0.0919,0.352,123.942
57,205600,2013-01-01,0.644,0.783,4,-5.866,1,0.0656,0.0231,0.0,0.105,0.258,90.005
42,185200,2010-05-31,0.812,0.517,9,-5.725,0,0.032,0.000728,0.00327,0.0633,0.917,114.985
26,176853,2021-01-22,0.494,0.799,0,-7.327,1,0.0628,0.707,4.64e-06,0.313,0.84,168.617
36,264325,2014-02-07,0.617,0.605,10,-8.192,0,0.0286,0.0425,0.00825,0.0822,0.736,129.969
0,266147,2019-06-28,0.377,0.578,2,-13.823,1,0.0375,0.221,0.0286,0.111,0.702,104.357
72,219429,2019-11-08,0.719,0.651,7,-5.878,1,0.0274,0.127,0.0,0.0763,0.288,104.956
0,205347,2021-04-13,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008
41,191550,2013,0.752,0.66,8,-4.709,1,0.258,0.0421,1.42e-05,0.384,0.799,127.89
42,121913,2021-02-11,0.311,0.387,0,-22.036,0,0.0435,0.889,0.14,0.321,0.316,109.857
72,196456,2021-01-08,0.66,0.81,5,-5.938,0,0.058,0.022,1.4e-06,0.0837,0.59,125.085
0,413173,2012,0.762,0.981,0,-5.159,1,0.0482,0.00743,0.0881,0.655,0.503,127.984
3,279347,2017-12-29,0.86,0.361,4,-17.973,1,0.224,0.0304,8.46e-06,0.0571,0.735,127.982
35,208133,2010-01-25,0.515,0.952,6,-2.936,1,0.0469,0.000237,1.68e-06,0.0483,0.428,116.965
71,197939,2018-03-16,0.661,0.725,6,-4.859,1,0.0563,0.0253,0.0,0.123,0.605,119.927
29,275861,2016-01-27,0.561,0.443,0,-7.79,1,0.032,0.211,9.02e-06,0.114,0.2,156.898
65,299133,2015-04-24,0.803,0.722,2,-6.421,1,0.0377,0.0324,0.00264,0.0763,0.857,139.981
3,333067,2017-07-07,0.234,0.738,1,-7.037,0,0.0731,0.0381,9.24e-05,0.742,0.18,139.624
50,338920,2013-03-06,0.454,0.876,10,-4.045,1,0.0403,0.00742,0.0,0.0854,0.42,82.022
0,223216,2016-02-21,0.785,0.51,7,-9.952,1,0.209,0.126,0.34,0.0814,0.33,137.972
66,185947,2016-05-27,0.532,0.392,10,-7.502,1,0.0289,0.816,0.0,0.122,0.352,151.879
75,234653,2012-03-12,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014
0,189000,2021-01-06,0.631,0.853,8,-4.514,1,0.0912,0.0622,0.0,0.0603,0.614,103.834
63,298520,2017-02-17,0.49,0.805,2,-4.578,1,0.0424,0.00289,3.19e-06,0.141,0.166,109.951
54,218200,2011-01-01,0.664,0.852,10,-5.341,1,0.0521,0.00109,0.0,0.0765,0.558,115.0
0,173867,2018-12-28,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.206,97.398
1,178120,2013-09-16,0.531,0.33,7,-12.27,1,0.0247,0.76,0.0,0.128,0.246,81.715
66,199680,2012-12-07,0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96
70,217387,2018-09-07,0.735,0.453,8,-8.264,0,0.0602,0.413,0.0,0.104,0.335,115.002
71,170670,2020-07-20,0.704,0.542,7,-6.277,1,0.0326,0.577,0.0,0.118,0.371,89.982
38,143560,2015-09-16,0.717,0.325,2,-8.147,1,0.0607,0.66,0.0,0.134,0.206,105.046
74,178800,2019-08-09,0.692,0.443,1,-5.671,1,0.0386,0.214,0.0,0.06,0.363,127.899
3,164000,2021-04-09,0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031
57,262173,2013-03-29,0.862,0.627,9,-5.792,1,0.0679,0.153,0.0,0.366,0.0485,120.001
58,185352,2018-10-19,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943
58,174987,2010-05-07,0.597,0.651,9,-8.713,1,0.0353,0.624,0.0,0.115,0.873,127.281
6,218200,2018-12-14,0.526,0.867,5,-4.332,0,0.0659,0.00138,0.00064,0.0975,0.12,132.106
56,183187,2020-10-02,0.5,0.765,8,-5.792,1,0.128,0.0104,0.0,0.32,0.49,165.016
54,146728,2020-12-01,0.622,0.529,7,-7.67,1,0.0849,0.352,9.89e-05,0.165,0.683,82.324
50,222440,2010-12-21,0.595,0.86,0,-3.902,0,0.0665,0.000749,0.0,0.445,0.8,124.038
35,286507,2011,0.479,0.253,7,-11.749,1,0.0272,0.395,0.0,0.0796,0.264,139.976
69,221874,2017-06-16,0.622,0.58,1,-5.273,0,0.0504,0.00241,2.95e-05,0.112,0.512,104.41
45,230493,2018-03-09,0.512,0.365,4,-11.144,1,0.0325,0.318,0.0,0.11,0.432,82.025
42,216000,2014-10-25,0.744,0.51,2,-11.366,1,0.0248,0.0736,0.0,0.063,0.904,92.939
50,233787,2011-07-18,0.888,0.701,0,-4.301,1,0.046,0.479,0.000208,0.0512,0.985,108.976
0,200760,2016-07-12,0.352,0.48,4,-7.738,0,0.0278,0.721,0.322,0.101,0.227,144.026
46,203619,2011-01-01,0.613,0.885,3,-4.196,1,0.0407,0.00182,0.000348,0.105,0.381,134.929
63,122331,2015-11-20,0.61,0.573,5,-4.153,1,0.37,0.313,2.49e-06,0.107,0.209,84.732
55,218747,2010-01-01,0.529,0.425,5,-10.94,1,0.023,0.48,0.00629,0.0875,0.444,77.99
42,207585,2017-11-03,0.691,0.543,1,-5.161,0,0.0308,0.0302,0.0,0.452,0.104,123.005
22,257333,2014-12-19,0.545,0.826,3,-5.148,0,0.0577,0.0894,9.82e-06,0.515,0.618,134.995
39,228907,2010-04-15,0.528,0.541,1,-5.027,1,0.0272,0.64,0.0,0.165,0.351,133.94
36,260347,2013-05-15,0.652,0.894,5,-2.46,0,0.0622,0.513,0.0,0.0917,0.666,99.02
52,134880,2016-08-09,0.959,0.47,0,-11.53,1,0.166,0.358,0.0,0.0806,0.964,129.995
20,149240,2021-01-22,0.521,0.524,0,-6.135,1,0.0302,0.42,9.27e-06,0.0838,0.712,136.679
45,245760,2012-05-04,0.515,0.935,11,-3.523,0,0.0873,0.00439,0.0,0.286,0.332,139.07
27,221425,2016-11-12,0.512,0.636,6,-6.219,0,0.0569,0.254,0.0,0.112,0.291,139.74
34,194667,2010-01-01,0.521,0.549,10,-6.369,1,0.0262,0.0193,0.00576,0.119,0.209,99.963
66,243057,2020-06-24,0.651,0.698,2,-9.894,1,0.0353,0.0108,0.449,0.126,0.0364,119.989
41,191048,2013-01-01,0.66,0.721,6,-6.801,0,0.0593,0.0612,3.23e-05,0.108,0.551,95.051
64,228467,2011,0.599,0.533,9,-14.032,0,0.0472,0.475,0.00153,0.235,0.607,122.262
69,145792,2020-09-04,0.686,0.867,6,-4.396,0,0.0449,0.0397,4.18e-05,0.396,0.691,126.068
42,253005,2014-10-17,0.384,0.56,3,-9.624,1,0.0298,0.36,0.000126,0.495,0.393,72.077
