popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
84,269187,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987
84,200424,0.853,0.426,1,-6.812,1,0.374,0.0765,0.0,0.104,0.201,160.051
84,157355,0.697,0.674,1,-6.326,1,0.0533,0.00215,0.0,0.138,0.198,81.535
84,165978,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979
84,155333,0.675,0.359,3,-5.157,1,0.108,0.614,0.0,0.137,0.792,191.903
84,174406,0.608,0.547,11,-8.151,1,0.0368,0.131,0.0,0.0974,0.108,99.947
84,156468,0.509,0.228,4,-8.68,1,0.0332,0.92,0.0,0.104,0.586,90.674
84,204632,0.538,0.512,4,-4.548,0,0.0262,0.22,0.0,0.101,0.12,144.978
84,207320,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966
84,156960,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962
84,241688,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945
84,281560,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998
84,245493,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07
84,212607,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971
84,199987,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99
84,210960,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99
84,194853,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877
84,157712,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864
84,176972,0.541,0.153,6,-10.654,1,0.0303,0.882,1.66e-06,0.16,0.359,139.644
84,229773,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991
83,199440,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998
83,226600,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001
83,154424,0.652,0.631,6,-5.718,0,0.0893,0.524,0.000579,0.165,0.35,127.998
83,171892,0.751,0.744,1,-6.859,1,0.177,0.152,0.000568,0.252,0.634,148.014
83,212093,0.67,0.693,6,-8.34,1,0.35,0.2,0.0,0.0909,0.388,87.017
83,229526,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025
83,269667,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
83,218359,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983
83,172800,0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007
83,187973,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695
83,238805,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
83,198853,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949
83,201600,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7
83,201661,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
83,216880,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033
83,220293,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146
83,218013,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96
83,162547,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034
83,182200,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056
83,190218,0.504,0.76,4,-4.246,1,0.0426,0.286,0.0,0.151,0.64,183.933
83,190488,0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81e-06,0.129,0.198,123.062
83,137984,0.957,0.437,11,-7.882,1,0.359,0.00402,0.0,0.219,0.616,130.058
83,172724,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094
83,244360,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
83,166560,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112
83,217867,0.523,0.606,1,-4.754,0,0.0301,0.512,0.0,0.106,0.065,145.837
83,220733,0.637,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.012
83,263373,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989
83,242733,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
83,231173,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015
83,219947,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956
83,189323,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051
83,204326,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006
83,215107,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881
83,180435,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008
83,260640,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928
83,153294,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643
83,344571,0.668,0.727,7,-6.55,0,0.027,0.514,1.9e-05,0.1,0.939,139.991
83,157067,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041
83,160184,0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705
83,195920,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
83,228373,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17
83,184732,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01
83,214847,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
83,196400,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013
83,260285,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672
