popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,163265,2015-10-01,0.699,0.0741,4,-16.697,1,0.155,0.847,0.0,0.119,0.346,126.993
0,215107,2021-04-13,0.459,0.574,3,-4.857,1,0.0577,0.608,0.0,0.0885,0.183,111.881
0,280667,2021-04-12,0.939,0.634,4,-4.6,0,0.194,0.409,0.11,0.233,0.718,106.007
0,273813,2021-04-13,0.832,0.702,5,-3.236,1,0.173,0.103,0.0,0.128,0.814,94.097
0,191244,2015-02-15,0.61,0.525,5,-10.659,1,0.0539,0.278,6.78e-05,0.102,0.683,126.016
0,302000,2021-03-05,0.221,0.523,0,-7.715,1,0.0295,0.408,0.000145,0.215,0.144,176.694
0,229800,2015-03-12,0.539,0.443,2,-7.361,1,0.0254,0.15,1.34e-05,0.0834,0.23,90.098
0,175013,2018-01-26,0.681,0.615,11,-7.703,0,0.0532,0.301,4.15e-06,0.11,0.887,140.012
0,223216,2016-02-21,0.785,0.51,7,-9.952,1,0.209,0.126,0.34,0.0814,0.33,137.972
0,185073,2019-11-08,0.725,0.604,7,-6.355,1,0.077,0.181,0.0,0.1,0.521,123.988
0,268020,2020-09-17,0.462,0.664,4,-5.488,0,0.032,0.0165,0.0585,0.0882,0.458,138.232
0,196684,2015-09-06,0.671,0.586,5,-12.119,1,0.0362,0.2,0.0168,0.185,0.428,119.93
0,105613,2020-05-17,0.404,0.852,5,-9.205,1,0.109,0.000483,0.298,0.197,0.766,122.194
0,265773,2020-03-01,0.465,0.814,7,-11.495,1,0.0876,0.0044,1.69e-06,0.0867,0.574,125.769
0,36257,2017-12-11,0.525,0.837,2,-6.176,0,0.0866,0.0173,0.0,0.243,0.584,142.3
0,232360,2014-11-03,0.361,0.636,5,-8.564,1,0.0466,0.238,0.0,0.133,0.328,165.907
0,222465,2017-07-17,0.803,0.524,7,-9.074,1,0.266,0.0441,0.00583,0.0838,0.325,138.019
0,233744,2012-12-14,0.893,0.552,8,-10.229,1,0.0722,0.0431,0.000317,0.0985,0.879,127.991
